title,snippet,url,raw_url,page,source,query_location,tbs,scraped_at
Senior Data Scientist - Fidelity Investments,"Senior Data Scientist. Fidelity Investments Roanoke, TX. 1 hour ago 35 ... Dallas, TX 2 months ago. Data Scientist. Data Scientist. Gartner. Irving, TX 6 ...",https://www.linkedin.com/jobs/view/4400261496,https://www.linkedin.com/jobs/view/senior-data-scientist-at-fidelity-investments-4400261496?refId=a%2Bugh%2Btoc%2BARKHu1leUyJg%3D%3D&trackingId=gLsvFlshsDc8g8ZhaLvzSg%3D%3D,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475274+00:00
Senior Data Scientist-Banking 10-15 Years,"Senior Data Scientist-Banking 10-15 Years. VBeyond Corporation Irving, TX ... Dallas, TX 1 day ago. Software Engineer (Python). Software Engineer (Python).",https://www.linkedin.com/jobs/view/10,https://www.linkedin.com/jobs/view/senior-data-scientist-banking-10-15-years-at-vbeyond-corporation-4394976813,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475288+00:00
"Gartner hiring Sr Data Scientist in Irving, TX | LinkedIn","Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 2 days ago ... Dallas, TX 5 days ago. AWM, Marcus by Goldman Sachs, Data Scientist ...",https://www.linkedin.com/jobs/view/4393856197,https://www.linkedin.com/jobs/view/sr-data-scientist-at-gartner-4393856197,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475292+00:00
Senior Data Scientist - Precision Technologies,"Senior Data Scientist. Precision Technologies Texas, United States. 1 day ago ... Dallas, TX 1 day ago. Entry Level Software Engineer. Entry Level Software ...",https://www.linkedin.com/jobs/view/4396305139,https://www.linkedin.com/jobs/view/senior-data-scientist-at-precision-technologies-4396305139,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475296+00:00
Senior Data Scientist – AI Grid Modeling,"Senior Data Scientist – AI Grid Modeling. Sunairio United States. 5 minutes ago ... Dallas, TX 1 day ago. Sr. Marketing Data Scientist. Sr. Marketing Data ...",https://www.linkedin.com/jobs/view/2,https://www.linkedin.com/jobs/view/senior-data-scientist-%E2%80%93-ai-grid-modeling-at-sunairio-4397473872,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475300+00:00
"Mphasis hiring Data Scientist in Dallas, TX | LinkedIn","Get notified about new Data Scientist jobs in Dallas, TX. Sign in to ... Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 2 days ago.",https://www.linkedin.com/jobs/view/4397788236,https://www.linkedin.com/jobs/view/data-scientist-at-mphasis-4397788236,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475302+00:00
"Alignerr hiring Data Scientist (Masters) in Dallas, TX | LinkedIn","Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago ... AI/ML Lead -Full Time Only -Dallas, TX I Tampa, FL I Jersy City, NJ ( 3 ...",https://www.linkedin.com/jobs/view/4399221027,https://www.linkedin.com/jobs/view/data-scientist-masters-at-alignerr-4399221027?position=40&pageNum=0&refId=oyV0XpCt2yePgK8yHYOpAw%3D%3D&trackingId=9lRyXhPVakLN4bVGjJf2vg%3D%3D,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475304+00:00
"Kemper hiring Data Scientist in Dallas, TX | LinkedIn","Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago ... AI/ML Lead -Full Time Only -Dallas, TX I Tampa, FL I Jersy City, NJ ( 3 ...",https://www.linkedin.com/jobs/view/4399230825,https://www.linkedin.com/jobs/view/data-scientist-at-kemper-4399230825,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475307+00:00
"MSC Serv hiring Data Scientist in Irving, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 6 days ago. Software Engineer Full Stack & Application ...",https://www.linkedin.com/jobs/view/4397264709,https://www.linkedin.com/jobs/view/data-scientist-at-msc-serv-4397264709,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475309+00:00
"Jobs via Dice hiring AI Data Scientist in Dallas, TX | LinkedIn","Get notified about new Data Scientist jobs in Dallas, TX. ... People also viewed. Senior Data Scientist - Optimization. Senior Data Scientist - Optimization.",https://www.linkedin.com/jobs/view/4394705528,https://www.linkedin.com/jobs/view/ai-data-scientist-at-jobs-via-dice-4394705528,1,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:26.475311+00:00
SME Careers hiring Senior Data Scientist in NAMER | LinkedIn,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago. Senior Data Scientist Manager - Games ...",https://www.linkedin.com/jobs/view/4399280308,https://www.linkedin.com/jobs/view/senior-data-scientist-at-sme-careers-4399280308,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261771+00:00
"Caris Life Sciences hiring Data Scientist - Irving, TX","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 6 days ago. Data Scientist. Data Scientist. Peoplevisor.",https://www.linkedin.com/jobs/view/4400383606,https://www.linkedin.com/jobs/view/data-scientist-innovation-phd-irving-tx-at-caris-life-sciences-4400383606,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261786+00:00
"Jobs via Dice hiring Data Scientist in Irving, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago. Similar Searches. Director of Laboratory ...",https://www.linkedin.com/jobs/view/4395479399,https://www.linkedin.com/jobs/view/data-scientist-at-jobs-via-dice-4395479399,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261791+00:00
"Highbrow LLC hiring Data Scientist in Frisco, TX","Data Science Analyst. American Heart Association. Dallas, TX 2 weeks ago ... Gen AI Engineer (Senior Data Scientist). LTM. Irving, TX $79,851 - $107,720 2 ...",https://www.linkedin.com/jobs/view/4398498105,https://www.linkedin.com/jobs/view/data-scientist-at-highbrow-llc-4398498105,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261795+00:00
"Vizient, Inc hiring Data Scientist in Irving, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago. Machine Learning Engineer. Machine Learning ...",https://www.linkedin.com/jobs/view/4393887942,https://www.linkedin.com/jobs/view/data-scientist-at-vizient-inc-4393887942,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261798+00:00
AWS SageMaker Data Scientist - Jobs via Dice,"Dallas, TX 1 week ago. Junior AI/ML Engineer (Data & Cloud Platforms) ... Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago ...",https://www.linkedin.com/jobs/view/4394742587,https://www.linkedin.com/jobs/view/aws-sagemaker-data-scientist-at-jobs-via-dice-4394742587,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261802+00:00
"Ericsson hiring AI Data Scientist in Plano, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 6 days ago. Data Scientist. Data Scientist. Peoplevisor.",https://www.linkedin.com/jobs/view/4398127022,https://www.linkedin.com/jobs/view/ai-data-scientist-at-ericsson-4398127022,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261805+00:00
"hackajob hiring Data Scientist Associate - Payments in Plano, TX","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 1 day ago. Data Scientist II – Model Validation and ...",https://www.linkedin.com/jobs/view/4394296122,https://www.linkedin.com/jobs/view/data-scientist-associate-payments-at-hackajob-4394296122,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261809+00:00
Tiger Analytics hiring Lead Data Scientist - GenAI,"Dallas, TX 1 week ago. Field R&D Lead Data Scientist - Industrial Focus ... Senior Data Scientist, Blockchain. Circle. Austin, Texas Metropolitan Area 2 ...",https://www.linkedin.com/jobs/view/4398532327,https://www.linkedin.com/jobs/view/lead-data-scientist-genai-at-tiger-analytics-4398532327,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261813+00:00
"Cinemark hiring Lead Data Scientist in Plano, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 1 day ago. AI & GenAI Data Scientist - EUR- Director. AI ...",https://www.linkedin.com/jobs/view/4394282975,https://www.linkedin.com/jobs/view/lead-data-scientist-at-cinemark-4394282975,2,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:28.261817+00:00
"VLink Inc hiring AI Engineer in Dallas, TX | LinkedIn","Posted 4:33:17 PM. Job Title: AI Engineer Location: Dallas, TX/Hybrid ... Gen AI Engineer (Senior Data Scientist). LTM. Irving, TX $79,851 - $107,720 1 ...",https://www.linkedin.com/jobs/view/4397314804,https://www.linkedin.com/jobs/view/ai-engineer-at-vlink-inc-4397314804,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832213+00:00
Rh Intelligence Group hiring High Ticket AI Consultant Closer in ...,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 3 days ago. Senior AI Consultant. Senior AI Consultant.",https://www.linkedin.com/jobs/view/4398046939,https://www.linkedin.com/jobs/view/high-ticket-ai-consultant-closer-at-rh-intelligence-group-4398046939,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832223+00:00
hackajob hiring Quant Analytics Senior Associate,"Dallas, TX 4 days ago. Data Business Intelligence (BI) & Power BI Analyst ... Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 2 days ago.",https://www.linkedin.com/jobs/view/4394412996,https://www.linkedin.com/jobs/view/quant-analytics-senior-associate-small-business-card-analytics-at-hackajob-4394412996,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832228+00:00
InterEx Group hiring Gen AI Consultant in United States | LinkedIn,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago. Senior AI Consultant. Senior AI Consultant.",https://www.linkedin.com/jobs/view/4398290022,https://www.linkedin.com/jobs/view/gen-ai-consultant-at-interex-group-4398290022,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832230+00:00
Machine Learning Engineer - AI Trainer,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 14 hours ago. Senior Machine Learning Scientist ...",https://www.linkedin.com/jobs/view/4397397541,https://www.linkedin.com/jobs/view/machine-learning-engineer-ai-trainer-at-dataannotation-4397397541,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832234+00:00
Language Alignment & Resource Partner - Freelance AI Trainer ...,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 2 days ago. Explore top content on LinkedIn. Find ...",https://www.linkedin.com/jobs/view/4397758055,https://www.linkedin.com/jobs/view/language-alignment-resource-partner-freelance-ai-trainer-project-at-meridial-marketplace-by-invisible-4397758055,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832237+00:00
Senior Technical Product Operations Specialist,"Senior Data Scientist - Ads Auctions. Jobgether. United States 5 days ago ... Dallas, TX 1 day ago. Technical Product Manager. Technical Product Manager.",https://www.linkedin.com/jobs/view/4397463683,https://www.linkedin.com/jobs/view/senior-technical-product-operations-specialist-at-quik-hire-staffing-4397463683,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832240+00:00
Sundayy hiring ML Engineer in United States,"This position offers a flexible remote work environment with a hybrid option for those near our Dallas, TX office, fostering collaboration, innovation, and ...",https://www.linkedin.com/jobs/view/4399230983,https://www.linkedin.com/jobs/view/ml-engineer-at-sundayy-4399230983,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832243+00:00
Mondo hiring AI Organic Social Consultant in United States | LinkedIn,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 4 days ago. Senior AI Consultant. Senior AI Consultant.",https://www.linkedin.com/jobs/view/4398532165,https://www.linkedin.com/jobs/view/ai-organic-social-consultant-at-mondo-4398532165,3,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:29.832246+00:00
"Loenbro hiring BI Engineer in Centennial, CO | LinkedIn","Location: Centennial, CO; Dallas, TX; Westminster, CO Reports to: Senior ... Senior Data Scientist. GliaCell Technologies. Aurora, CO 6 months ago.",https://www.linkedin.com/jobs/view/4400309309,https://www.linkedin.com/jobs/view/bi-engineer-at-loenbro-4400309309?refId=szaGAau5SLCVLegimqgtFw%3D%3D&trackingId=zlmjjLzOlf90Dxzs6eXnQg%3D%3D&position=20&pageNum=0,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514932+00:00
Junior Data Scientist - Tech Consulting,"Senior Data Scientist. Senior Data Scientist. Roku. Austin, TX 1 day ago. Data Scientist. Data Scientist. Persistent Systems. Dallas, TX 1 week ago. Data ...",https://www.linkedin.com/jobs/view/4395975986,https://www.linkedin.com/jobs/view/junior-data-scientist-at-tech-consulting-4395975986,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514943+00:00
"Director Analyst, Warehouse Systems and Technologies (WMS ...","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 3 days ago. Business Analyst - Mergers & Acquisition ...",https://www.linkedin.com/jobs/view/4398236604,https://www.linkedin.com/jobs/view/director-analyst-warehouse-systems-and-technologies-wms-robotics-and-ai-remote-us-at-gartner-4398236604,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514948+00:00
"Capgemini hiring AI/ML Engineer with AWS SageMaker in Atlanta, GA","Job Location : Dallas, TX/ Charlotte, NC/ Malvern, PA (Onsite/Hybrid) Job ... Senior Data Scientist (Retail). PGA TOUR Superstore. Roswell, GA 2 days ago.",https://www.linkedin.com/jobs/view/4400252304,https://www.linkedin.com/jobs/view/ai-ml-engineer-with-aws-sagemaker-at-capgemini-4400252304?refId=PkWxkbZBHo6kMyt1snmgyA%3D%3D&trackingId=8%2FHhUXkLZyscCzOUqH3bxw%3D%3D,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514951+00:00
"PepsiCo hiring Microbiology Scientist in Arlington, TX | LinkedIn","Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 5 days ago. Medical Lab Scientist. Medical Lab Scientist.",https://www.linkedin.com/jobs/view/4398201984,https://www.linkedin.com/jobs/view/microbiology-scientist-at-pepsico-4398201984,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514954+00:00
Motorola Solutions hiring Impounds Supervisor - MVTrac,"Senior Data Scientist - Optimization. Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 3 days ago. GMC - Coordinator Order Fulfillment. GMC ...",https://www.linkedin.com/jobs/view/4398301817,https://www.linkedin.com/jobs/view/impounds-supervisor-mvtrac-remote-at-motorola-solutions-4398301817,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514956+00:00
"Bodycote hiring North America Fleet Support Coordinator in Dallas, TX","Get notified about new Support Coordinator jobs in Dallas, TX. Sign in ... Senior Data Scientist - Optimization. Tiger Analytics. Dallas, TX 5 days ago ...",https://www.linkedin.com/jobs/view/4399872072,https://www.linkedin.com/jobs/view/north-america-fleet-support-coordinator-at-bodycote-4399872072,4,serper,"Dallas, TX",qdr:w,2026-04-10T16:30:31.514959+00:00
Mixue Indonesia - Data Scientist,"Dallas, Texas, Estados Unidos Hace 5 días. Senior Data Scientist (Healthcare / AI/ML). Senior Data Scientist (Healthcare / AI/ML). DynPro Inc. Estados Unidos ...",https://www.linkedin.com/jobs/view/4397841384,https://cl.linkedin.com/jobs/view/writer-at-mixue-indonesia-4397841384,1,serper,"Dallas, Texas",qdr:w,2026-04-10T16:30:34.595926+00:00
